tf,HR,pvalue,coef,n
NCOA3,0.79475176444518,0.00035486367585019446,-0.22972545906763717,7397
RARG,0.8387884547294043,0.0003626154594182396,-0.17579674408175786,7397
BATF,0.7867155201718345,0.0003873887040183233,-0.2398885696454859,7397
SMAD1,0.8831137662002069,0.0004046606643894803,-0.12430124613357137,7397
FOXP3,0.7115543770813076,0.0004095281402154023,-0.3403034383974124,7397
WWTR1,0.7394397817041497,0.0004254143928939887,-0.3018624312434588,7397
HOXA13,0.7307975559733083,0.00044724291902403405,-0.3136187988006424,7397
ZNF335,1.2270504989678708,0.00045524161317829503,0.2046133213349033,7397
WT1,0.8041395945336328,0.0004631701198796049,-0.21798239983242196,7397
NFIA,1.2707398023249628,0.00047094429038309463,0.239599252386421,7397
HEY1,0.7745169382628171,0.0005251240103861749,-0.2555157494317335,7397
ZNF219,1.2172469458244493,0.0005391883732844157,0.19659170699923373,7397
NFE2L1,1.2839728473655083,0.0005424728364986335,0.24995905813257246,7397
KLF4,0.8015119114154781,0.0005607417568576401,-0.22125544563874427,7397
SMAD2,0.8901560470841268,0.0005995343163653577,-0.11635849782273662,7397
STAT2,0.8858984355247359,0.0006368139972557839,-0.12115296753846524,7397
PAX8,1.3774018451613828,0.0006372451723522603,0.32019900372490834,7397
HDAC1,1.2392584285586674,0.0006523906750523395,0.21451315923386183,7397
SOX3,1.4126687976755155,0.0006719865047808889,0.3454806796776966,7397
PRRX1,0.8468215664876909,0.0006963405311983769,-0.16626527182692352,7397
MLX,1.252780461968338,0.0006972635231238141,0.22536545064136185,7397
TBPL2,0.7703097748797735,0.0006997437517884103,-0.26096253999871494,7397
ZNF263,1.231905138526142,0.0007098202345253114,0.20856186419727368,7397
PHF20,1.354321180145372,0.0007347179682314758,0.3033003547397761,7397
PITX2,0.8659785268541468,0.0007601693751014576,-0.14389516650755327,7397
BCL6,0.8421381404141117,0.0007826636009662305,-0.1718112159470105,7397
SOX6,0.8226282857709577,0.00087175169411373,-0.19525083796255274,7397
HOXD4,0.7176698380406373,0.001012682978985643,-0.3317456512887213,7397
ID2,0.8355044953578636,0.0010544538205526223,-0.17971955052087157,7397
LITAF,0.7398466187112444,0.0011190268120458413,-0.3013123862795658,7397
ZIC2,1.286387963990632,0.0011664751274695342,0.25183826304822793,7397
JUN,0.9424859479596318,0.001203885067017492,-0.059234269097766926,7397
MEF2C,0.8096021802010501,0.0013535806628330908,-0.21121228751648213,7397
POU3F4,2.3545181501194676,0.0014263236014315469,0.8563360993655246,7397
EZH2,1.292274028818083,0.0014721620629902384,0.25640347947952763,7397
MIXL1,0.822433053306885,0.0014797322567398966,-0.19548819381105706,7397
BCL11B,0.8040277937774513,0.0015148588477319137,-0.21812144102573836,7397
KLF7,0.8108703272849548,0.001523034362543809,-0.20964713002454102,7397
ZBTB33,1.1988929122074954,0.0016593387614730402,0.18139855780098807,7397
FOS,0.9165246969963824,0.0017876460043893883,-0.08716626498810302,7397
MAFG,1.300266167741366,0.0018535743210621567,0.26256898792664907,7397
ETV6,1.2174031479262202,0.00191705882171323,0.19672002285241202,7397
FOXO1,0.9114815319628815,0.0019503231512773321,-0.09268394621746526,7397
PAX6,0.8611282767136402,0.0020615512115010567,-0.1495117999215499,7397
PREB,0.7887621894252291,0.0021088096261548703,-0.23729041114124125,7397
RXRB,0.8187178620755619,0.002109752833521338,-0.20001574522986676,7397
